id,brand,supplier_sku,title,finish,construction,status,width_mm,height_mm,depth_mm,model_url,source_url,review_reasons
oppein-pb-mnw-3db18,OPPEIN,PB-MNW-3DB18,3 Drawer Base Cabinet,Natural Wood,Particle board,model_ready,457.2,762.0,606.425,/cabinet-inventory/models/oppein-pb-mnw-3db18.glb,https://www.oppeincabinetry.ca/shop/pb-mnw-3db18-3-drawer-base-cabinet-18614,
oppein-pb-mnw-3db15,OPPEIN,PB-MNW-3DB15,3 Drawer Base Cabinet,Natural Wood,Particle board,model_ready,381.0,762.0,606.425,/cabinet-inventory/models/oppein-pb-mnw-3db15.glb,https://www.oppeincabinetry.ca/shop/pb-mnw-3db15-3-drawer-base-cabinet-18613,
oppein-pb-mnw-3db12,OPPEIN,PB-MNW-3DB12,3 Drawer Base Cabinet,Natural Wood,Particle board,model_ready,304.8,762.0,606.425,/cabinet-inventory/models/oppein-pb-mnw-3db12.glb,https://www.oppeincabinetry.ca/shop/pb-mnw-3db12-3-drawer-base-cabinet-18612,
oppein-ply-mso-3db12,OPPEIN,PLY-MSO-3DB12,3 Drawer Base Cabinet,Smoked Oak,Plywood,model_ready,304.8,762.0,606.425,/cabinet-inventory/models/oppein-ply-mso-3db12.glb,https://www.oppeincabinetry.ca/shop/ply-mso-3db12-3-drawer-base-cabinet-14697,
oppein-ply-mso-3db15,OPPEIN,PLY-MSO-3DB15,3 Drawer Base Cabinet,Smoked Oak,Plywood,model_ready,381.0,762.0,606.425,/cabinet-inventory/models/oppein-ply-mso-3db15.glb,https://www.oppeincabinetry.ca/shop/ply-mso-3db15-3-drawer-base-cabinet-14698,
oppein-ply-gss-3db15,OPPEIN,PLY-GSS-3DB15,3 Drawer Base Cabinet,Gray Single Shaker,Plywood,model_ready,381.0,762.0,606.425,/cabinet-inventory/models/oppein-ply-gss-3db15.glb,https://www.oppeincabinetry.ca/shop/ply-gss-3db15-3-drawer-base-cabinet-12060,
oppein-ply-gss-3db12,OPPEIN,PLY-GSS-3DB12,3 Drawer Base Cabinet,Gray Single Shaker,Plywood,model_ready,304.8,762.0,606.425,/cabinet-inventory/models/oppein-ply-gss-3db12.glb,https://www.oppeincabinetry.ca/shop/ply-gss-3db12-3-drawer-base-cabinet-12061,
oppein-ply-gss-3db18,OPPEIN,PLY-GSS-3DB18,3 Drawer Base Cabinet,Gray Single Shaker,Plywood,model_ready,457.2,762.0,606.425,/cabinet-inventory/models/oppein-ply-gss-3db18.glb,https://www.oppeincabinetry.ca/shop/ply-gss-3db18-3-drawer-base-cabinet-12062,
oppein-ply-gss-3db21,OPPEIN,PLY-GSS-3DB21,3 Drawer Base Cabinet,Gray Single Shaker,Plywood,model_ready,533.4,762.0,606.425,/cabinet-inventory/models/oppein-ply-gss-3db21.glb,https://www.oppeincabinetry.ca/shop/ply-gss-3db21-3-drawer-base-cabinet-12063,
oppein-ply-bss-3db12,OPPEIN,PLY-BSS-3DB12,3 Drawer Base Cabinet,Blue Single Shaker,Plywood,model_ready,304.8,762.0,606.425,/cabinet-inventory/models/oppein-ply-bss-3db12.glb,https://www.oppeincabinetry.ca/shop/ply-bss-3db12-3-drawer-base-cabinet-15666,
